Nombre,Simbolo,Precio_USD,Capitalizacion,Volumen_24h,Cambio_24h_Porcentaje
Bitcoin,btc,64568.0,1295945261496,18472545858.0,0.5
Ethereum,eth,1911.8,230715962236,6086581309.0,0.4
Tether,usdt,1.0,183016353163,30135596620.0,0.0
BNB,bnb,602.44,80220399026,496393760.0,-0.3
USDC,usdc,1.0,71832246660,7908470935.0,0.0
XRP,xrp,1.0,62687504382,811637755.0,0.0
Solana,sol,76.95,44847785500,1396832309.0,1.5
TRON,trx,0.33,31582792108,369977720.0,0.5
Figure Heloc,figr_heloc,1.01,21663355352,444871563.0,0.4
Hyperliquid,hype,58.62,13039563788,262600663.0,-0.1
Dogecoin,doge,0.07,10903293989,246593008.0,0.0
USDS,usds,1.0,9792681091,151036300.0,0.0
Rain,rain,0.01,9382047887,28950010.0,-0.3
LEO Token,leo,9.49,8732814326,232293.0,0.8
Zcash,zec,509.47,8600546259,166947475.0,-1.3
Monero,xmr,413.02,7762654614,84360782.0,0.5
Chainlink,link,9.49,7100237462,215568227.0,-0.2
WhiteBIT Coin,wbt,55.66,6569072455,36908317.0,0.3
Cardano,ada,0.17,6482844396,174512407.0,-0.3
Stellar,xlm,0.15,5314864849,102060354.0,-2.3
Dai,dai,1.0,4564563589,119062169.0,0.0
Bitcoin Cash,bch,203.58,4086727023,132643500.0,-0.2
Ethena USDe,usde,1.0,4035974293,50942872.0,0.0
USD1,usd1,1.0,3995227646,682118031.0,0.0
Gram (prev. Toncoin),gram,1.33,3662247513,24713857.0,-0.7
Canton,cc,0.09,3554270793,6954729.0,0.2
Global Dollar,usdg,1.0,3463426557,233032335.0,0.0
Litecoin,ltc,44.48,3446174945,135751012.0,0.2
Circle USYC,usyc,1.13,2982978661,0.0,0.1
Hedera,hbar,0.07,2928627331,31957283.0,0.9
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2758916034,0.0,0.0
PayPal USD,pyusd,1.0,2753292918,76153715.0,0.0
Avalanche,avax,6.31,2725669517,124775154.0,-0.4
Sui,sui,0.65,2657083783,262763742.0,-3.2
Tether Gold,xaut,4332.97,2655273131,192853742.0,-1.6
Shiba Inu,shib,0.0,2585562372,51388669.0,-1.4
Cronos,cro,0.05,2235010802,5428529.0,-2.3
Ondo US Dollar Yield,usdy,1.14,2146920341,551722.0,-0.1
OKB,okb,99.53,2089950781,25356474.0,-1.8
NEAR Protocol,near,1.6,2080663392,103749960.0,-1.0
Uniswap,uni,3.3,2059662159,125736659.0,0.6
World Liberty Financial,wlfi,0.06,1927930500,24931671.0,0.0
PAX Gold,paxg,4341.47,1896922494,113405495.0,-1.7
Bittensor,tao,190.63,1829538560,73061653.0,-2.7
Ripple USD,rlusd,1.0,1760748302,99669244.0,0.0
Aster,aster,0.6,1618139225,69090028.0,0.0
Ondo,ondo,0.33,1597821190,53728684.0,-1.0
HTX DAO,htx,0.0,1554567291,37580410.0,-3.1
USDD,usdd,1.0,1543360531,53519907.0,0.0
MemeCore,m,1.15,1532056468,4325366.0,-1.5
